Title,Next,Dist
"Canada","Provinces and territories of Canada","14"
"Alternative rock","Rock music","16"
"Title","Prefix","10"
"Continuum mechanics","Mechanics","7"
"John George","John George (Virginia colonist)","14"
"2014 Man Booker Prize","Man Booker Prize","25"
"Gaelic Athletic Association","Gaelic games","18"
"Good (economics)","Economics","8"
"Penguin Random House","Random House","-1"
"John Bradford (dissenting minister)","English Dissenters","11"
"Public university","University","9"
"Tonga at the 2008 Summer Paralympics","Tonga","18"
"College basketball","Basketball","15"
"Turkmenistan","List of Turkic dynasties and countries","21"
"Robert Heaton","Rock music","16"
"Uni\xc3\xb3n Temuco","Temuco","18"
"Business","Organization","18"
"Northern Europe","Europe","16"
"Hill town","Citadel","15"
"Job","Money","15"
"Award","Excellence","22"
"Episcopal polity","Hierarchy","8"
"Ludwig Timotheus Spittler","Historian","12"
"Prince consort","Queen regnant","12"
"Saint Nearchus","Armenians","11"
"Present","Time","11"
"Monarchy of the United Kingdom","Constitutional monarchy","12"
"Japan National Route 284","National highways of Japan","20"
"Tarapur","Tarapur, Maharashtra","18"
"Silent film","Film","19"
"Cognition","Science","6"
"Region","Geography","14"
"Typeface","Typography","15"
"Report","Presentation","-1"
"University of Hull","Public university","10"
"Queen\'s Counsel","Monarch","11"
"Military","Use of force","12"
"Polyphage","Oligomer","12"
"Man Booker Prize","Literary award","24"
"Elings Park","Geographic coordinate system","8"
"Computer graphics","Image","10"
"Nikolina Moldovan","Canoe sprint","14"
"Cities of Japan","Public administration","14"
"Syriac Orthodox Church","Autocephaly","9"
"Canoe","Boat","12"
"Queen regnant","Monarch","11"
"Southeast Asian Games","Multi-sport event","14"
"Osaka","Cities designated by government ordinance of Japan","16"
"Terrain","Underwater","15"
"Competition","Competition (biology)","11"
"Entity","Abstraction","16"
"Subregion","Region","15"
"Kata Dob\xc3\xb3","Hungarians","-1"
"Antelope Valley (Elko-White Pine Counties)","Nevada","16"
"Edgar Fay","Queen\'s Counsel","12"
"International auxiliary language","Language","12"
"Asset","Financial accounting","10"
"Turkey","List of transcontinental countries","21"
"1998 in film","Terrence Malick","14"
"Stanley Graham (psychologist)","American Psychological Association","9"
"Television director","Television program","10"
"State (polity)","Community","9"
"Festival","Community","9"
"Municipality","Administrative division","18"
"American comic book","Periodical literature","10"
"Media (communication)","Recording","8"
"Sorelle Marinetti","Trio (music)","14"
"Language family","Language","12"
"Film director","Film","19"
"Slovakia","Sovereign state","10"
"Union Danese pro Interlingua","Interlingua","14"
"Monarch","Sovereignty","10"
"Lex Records","Independent record label","12"
"Continental Europe","Continent","15"
"Local government","Public administration","14"
"Morpheme","Linguistics","7"
"Latin","Classical antiquity","11"
"Goal orientation","Goal","12"
"La M\xc3\xa9prise (Marivaux)","Comedy","16"
"Competition (biology)","Biological interaction","10"
